feature,importance
aqi_lag_1,15.489510780783153
aqi_change_1h,2.502301939750772
o3,0.4301278416106398
pm2_5,0.36319163837590035
pm10,0.20900358281742246
hour,0.19890790038350403
aqi_change_24h,0.18758366659179893
no2,0.1844024405928828
so2,0.12901435662793379
temperature,0.123086843088697
co,0.11643788622416523
day,0.10692235272599533
aqi_lag_24,0.09525612696794487
humidity,0.07493797264656393
wind_speed,0.06636481259163282
day_of_week,0.01598825777065835
month,0.013199526921053237
